feature,binary_rank,binary_f_score,binary_p_value,threeclass_rank,threeclass_f_score,threeclass_p_value,ordinal_rank,ordinal_f_score,ordinal_p_value,avg_rank,top10_count
StddevUnvoicedSegmentLength,63,0.0877347780327306,0.7683546974523027,85,0.047692125208833,0.9534733574834716,65,0.3861012354746957,0.8174319967842155,71.0,0
F1amplitudeLogRelF0_sma3nz_stddevNorm,83,0.0035768884972571,0.952557589365342,59,0.2800886170934626,0.7569692697553126,72,0.334014957154923,0.8536135503947577,71.33,0
spectralFluxUV_sma3nz_amean,74,0.0391210979428586,0.8440442086442744,76,0.1164373190523951,0.8903418332066403,67,0.3770521383004001,0.8238030948401036,72.33,0
loudness_sma3_meanFallingSlope,78,0.0307789863137106,0.8614723860908468,65,0.2473587093355214,0.7818706695463855,77,0.2604865295146241,0.9017079729591352,73.33,0
loudness_sma3_stddevFallingSlope,77,0.0327278971404587,0.8572010807711518,67,0.2224956342770481,0.8013568283328193,78,0.2592628990294197,0.9024671910052232,74.0,0
slopeUV0-500_sma3nz_amean,62,0.0979084663755439,0.755709659362194,83,0.0759669081644732,0.9269604438030684,79,0.2561067407186366,0.9044180354211993,74.67,0
MeanUnvoicedSegmentLength,76,0.0337791383945399,0.8549516275768105,86,0.0168816887806371,0.983265967750116,74,0.3086691461754405,0.8706765544445529,78.67,0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,75,0.0389003090841972,0.8444791091910124,77,0.1088164969265754,0.897120279410433,86,0.1506496290334056,0.9617499532888598,79.33,0
loudness_sma3_pctlrange0-2,88,4.776608654034508e-05,0.9945142681394038,70,0.2115788945146329,0.810072027121357,81,0.2132733446797916,0.92971627645163,79.67,0
F3bandwidth_sma3nz_amean,84,0.0031437732229053,0.955519297303698,87,0.0060419688688758,0.9939770190194192,76,0.2766253553680621,0.8915505277682612,82.33,0
slopeV0-500_sma3nz_amean,81,0.0134777127676947,0.9080627527182366,84,0.0566401313896906,0.9449984579140988,88,0.1224509556222245,0.973709396848032,84.33,0
slopeV500-1500_sma3nz_stddevNorm,86,0.0001087156775341,0.9917240791204984,88,0.0016643051504211,0.9983371378708974,87,0.1427601589255073,0.965270045663951,87.0,0
