e1,e2,e3,e4,e5,e6,e7,e8
347.4,199.4,164.3,84,66.9,59,51.1,46.9
299.2,307.7,664.6,120.5,208.2,104,105.3,121.3
626.2,110.6,178.7,353.2,219.6,75,82.4,98.5
668.5,469.1,59.6,64.9,108.2,76.1,99.9,213.3
67.1,177.2,189.6,124.1,54.9,75.1,88,90.3
426.5,260.2,171.6,144.4,176.5,163.5,304.3,712.4
122.2,124.7,258.8,122.8,96.2,112.3,141.6,148.4
10065.8,606.6,41.9,57,67.4,65.5,134.7,196.4
554,396.8,393.2,211.8,237.1,243,257.3,415.3
376.7,635.1,359.6,373.5,122.8,110.5,112.2,109.6
10388.1,479,156.7,229,243.2,166.8,204.6,284.7
855.2,147.4,110.4,111.9,108.8,105.2,145.7,194.5
337,231.4,159.1,181.8,231.3,307,248.1,162.6
10365.5,10313.3,10163.7,10175,10193,10518.5,10630.5,697.6
10045,779.3,86.6,429.1,380,64.5,53.5,77.2
10078.6,779.7,461.5,585.2,135.8,170.4,156.9,126.8
426.9,252.6,172.4,306.6,332.1,370.5,460.1,589.9
10329,382,62.1,128.4,111.5,273.3,145.3,163.8
187.6,162.3,250.8,321.8,164.1,44.8,88.1,115.6
259.2,137.1,96.7,110.7,277,57.5,65.1,55.1
481.3,214.7,76.9,91.9,199.8,284.7,381,320.4
467.3,534.7,90.7,96,99,117.5,160.4,153.9
10359.8,10334.1,109.9,115.2,104.4,138.5,206.7,453.2
381.4,318.3,352.7,506.5,69.9,201.5,113,228.6
307,402.3,590.6,113.2,198.7,127.9,148.9,158.8
512.8,863.8,263,247.5,214.8,171.4,219.2,233.4
401.8,215,248.5,200.9,329,275.6,347.1,318.5
644.3,849.8,877,158,201.6,284.4,284.1,291.5
582.5,546.5,175.9,241.6,203.3,293.3,187.9,201.1
10258,390.2,125.4,145.9,104.4,132.4,140.9,204.9
98.4,62,111.2,192.2,121.5,217.7,92.2,94.5
387.1,372.3,192.3,99.5,176.7,219.1,189.7,233.1
343.2,391.4,342.4,204,168.3,225.4,371.9,430.4
384.7,42.9,77.9,83.3,158.2,74.3,68.9,67.7
585.7,265.5,166.3,285.5,231.2,323.1,252.8,246.5
10086.2,382.1,489.5,244.3,503.7,265.7,414.6,539.7
334.8,176.8,93.2,84.4,95.5,421.7,620.2,773
10478.7,484,161.9,131.4,119,126.5,108.4,112.5
10203.4,261.3,37.5,126.4,68.8,252.6,179.6,101.9
10483.6,396.2,171.7,126.6,442.6,310.4,180.1,211.6
431.8,464.6,386.3,52.7,333.9,362.5,295.8,173.2
10452.9,351.5,459.8,121.7,162.3,143.4,72.9,103.7
10052.4,10885.3,93.7,143.6,116,153.5,106.7,99.8
10395.4,284.9,391.3,496.8,82.4,93.7,97.4,160.9
254.9,353.6,273,423.9,444.1,1148.4,901.3,1062.3
456.8,133.8,104.8,120.5,277.1,477.7,600.5,490.9
10332.6,423,117.9,194.4,114.2,105,98.7,153.7
597.1,150.7,143.5,137.3,186.5,299.6,337.6,270.2
288.3,302.3,66,65.8,58.5,87.7,111.3,222.6
10430.1,845.2,371.6,79,184.1,343.5,473.9,591.8
10285.7,10234.9,377.1,143.1,208,196,233.7,313.6
10391.8,743.5,62.2,115.3,92.6,304.6,434.2,531.9
10036.1,10415,36.4,57.7,70.4,78.6,149.8,172.2
10067.9,391,373.1,296.8,165.7,190.3,170.4,170.1
10200.2,89.2,70.7,77.8,81.7,113.3,93.5,158.1
480.2,1016.2,118.6,119.7,600.2,314.1,118.8,144.8
10135.3,626.8,362.5,319.9,181.4,121.1,109,106.8
10143.9,10444.5,745.1,111,114.5,129.4,192.5,385.9
10205.6,57.6,56.8,85.2,61.5,68.8,266.4,147.8
104.6,142.1,109,135.6,99.9,77.1,34.1,40.6
89.5,215.6,131.9,143.7,166.6,60,62.5,77
712.7,815.8,390.3,418.9,362,393.2,626.7,750.4
94,236.2,402.4,398.2,735,207.9,215.7,159.2
130,289.2,220.3,156.4,149.2,145.3,154.7,203.3
870.1,904.2,144.2,197.4,286.2,272.8,241.5,260.9
10146.3,327,46,103.1,90.9,123.1,110.6,145.7
355,403.2,345.1,138.2,126.8,119,218.6,312.2
69.1,305.4,66.1,62.2,77.1,62.2,72,187.1
296.3,214.9,34.8,41.2,37.5,80.2,656.8,770.5
288.3,503.3,477,205.3,62.6,69.3,53.7,77.5
167.1,715.3,397.8,375.2,37.8,50.9,56.9,102.2
197.1,560.4,240.3,105.3,79,298.3,109.9,701.9
48.2,38.2,242.8,45.2,45,45.7,40.2,38.2
10094.8,70.2,80.5,145,76.8,170.9,226.6,253.3
10133.5,10058,10096.5,10056.5,363.6,320.3,269.1,264.9
10420.1,194.3,120.3,84.6,65.2,62.5,440.8,803.2
10168.3,10226.3,10094.7,10129.1,10116.5,927,718.2,695.9
